Comment,Designator,Footprint,LCSC Part #,Type
0,R1,R0805,,SMD
0.1uF,C1 C2 C20 C22 C32,C0805K,,SMD
0.047uF,C29 C30,C1206K,,SMD
1M,R33 R35 R36 R38,R0805,,SMD
1k,R7 R8,R0805,,SMD
1uF,C33,C0805K,,SMD
2.2nF,C12 C13 C16 C21,C0805K,,SMD
2SK209-GR,Q1 Q2,SOT-23,,SMD
4.7K,R31,R0805,,SMD
10k,R2 R3 R4 R6 R11 R12 R17 R18 R25 R26 R32 R34 R37,R0805,,SMD
10kB,POT0 POT1 POT2,POT_9MM_PACK_SM,,THT
10uF,C7 C9 C10 C11 C24 C25 C26 C27,CT3216,,SMD
10uf,C5 C6,C0805K,,SMD
15pF,C3,C0805K,,SMD
22k,R9 R10 R13 R14 R15 R16 R21 R22 R40,R0805,,SMD
24LC32ASN,IC1,SO-08,,SMD
32.768kHz,X2,CRYSTAL-SMD-3.2X1.5MM,,SMD
47pF,C18 C23,C0805K,,SMD
47uF,C8 C15,C1206K,,SMD
56k,R19 R20 R23 R24 R39,R0805,,SMD
68pF,C17 C19,C0805K,,SMD
74HC08,IC2,SO14,,SMD
74HC4024M,IC6,SO14,,SMD
78L33SMD,VR1,SO08,,SMD
100,R5,R0805,,SMD
100k,R27 R28,R0805,,SMD
100uF,C4 C14 C31,C1206K,,SMD
220uF,C28,PANASONIC_D,,SMD
560,R29 R30,R0805,,SMD
628,H1,628,,THT
BAS40,D1 D2,SOT23-R,,SMD
DSIC02LSGET,SW1,CTS-219-02,,SMD
NJM2100,IC5,SO08,,SMD
SPINFV-1,IC3,SOIC-28,,SMD
TL072D,IC4,SO08,,SMD
